Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
295,The W103 Open Streets Community Coalition,21570,Manhattan,WEST 103 STREET,RIVERSIDE DRIVE,BROADWAY,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-03-30T00:00:00,473.674583984,03/30/2022 12:00:00 AM,,"MULTILINESTRING ((992565.5112441331 230634.2359596491, 992151.532085225 230864.4290688038))"
296,Columbus Amsterdam Business Improvement District,21593,Manhattan,AMSTERDAM AVENUE,WEST 106th STREET,WEST 110th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,20:30,11:00,20:30,2021-04-03T00:00:00,262.59727005,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((994006.2567222267 231378.07305464149, 994133.0464948863 231608.03322464228))"
297,Columbus Amsterdam Business Improvement District,21594,Manhattan,AMSTERDAM AVENUE,WEST 106th STREET,WEST 110th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,20:30,11:00,20:30,2021-04-03T00:00:00,250.021593161,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((994133.0464948863 231608.03322464228, 994254.7011072189 231826.46159355342))"
298,Osborne Association,21661,Manhattan,OLD BROADWAY,WEST 126th STREET,WEST 125th STREET,approvedFull,"tue,thu",,,15:00,20:00,,,15:00,20:00,,,,,,,2021-11-30T00:00:00,289.076470094,01/05/2022 12:00:00 AM,no,"MULTILINESTRING ((995922.8276922256 236266.27587664127, 996174.7005480528 236408.1394380629))"
299,Frederick Douglass Boulevard Alliance,21678,Manhattan,FREDERICK DOUGLASS BOULEVARD,WEST 112th STREET,WEST 120th STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,22:00,12:00,22:00,12:00,21:00,2021-06-25T00:00:00,261.417128157,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((996215.7769094706 231650.79560631514, 996342.1746225506 231879.62421689928))"
300,Frederick Douglass Boulevard Alliance,21680,Manhattan,FREDERICK DOUGLASS BOULEVARD,WEST 112th STREET,WEST 120th STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,22:00,12:00,22:00,12:00,21:00,2021-06-25T00:00:00,262.012991315,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((996342.1746225506 231879.62421689928, 996468.9778466374 232108.90951947868))"
301,Frederick Douglass Boulevard Alliance,21686,Manhattan,FREDERICK DOUGLASS BOULEVARD,WEST 112th STREET,WEST 120th STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,22:00,12:00,22:00,12:00,21:00,2021-06-25T00:00:00,281.54879238,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((996468.9778466374 232108.90951947868, 996605.6875469685 232355.0399327278))"
302,Frederick Douglass Boulevard Alliance,21688,Manhattan,FREDERICK DOUGLASS BOULEVARD,WEST 112th STREET,WEST 120th STREET,approvedFull,"fri,sat,sun",,,,,,,,,17:00,22:00,12:00,22:00,12:00,21:00,2021-06-25T00:00:00,282.031428652,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((996605.6875469685 232355.0399327278, 996742.308008641 232601.77172273397))"
303,Saint Bernard Catholic Academy,23231,Brooklyn,EAST 69th STREET,VETERANS AVENUE,AVENUE U,approvedFull,"mon,tue,wed,thu,fri",08:30,14:00,08:30,14:00,08:30,14:00,08:30,14:00,08:30,14:00,,,,,2021-09-20T00:00:00,531.029428606,06/30/2022 12:00:00 AM,yes,"MULTILINESTRING ((1009188.258510381 165170.03224264085, 1009532.9264562279 164766.0566726476))"
304,Forest Elementary School 24Q071,27607,Queens,60th STREET,BLEECKER STREET,METROPOLITAN AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:30,13:30,10:30,13:30,10:30,13:30,10:30,13:30,10:30,13:30,,,,,2021-09-20T00:00:00,714.230211904,06/28/2022 12:00:00 AM,yes,"MULTILINESTRING ((1010615.4462728053 199006.78445088863, 1010849.5366838872 198332.0056167245))"
305,Friends of Saratoga Park Bed-Stuy + LLTCRN,24535,Brooklyn,HOWARD AVENUE,MACON STREET,HALSEY STREET,approvedFull,fri,,,,,,,,,09:00,17:00,,,,,2021-05-28T00:00:00,270.456519229,12/17/2021 12:00:00 AM,,"MULTILINESTRING ((1006312.8725288808 188920.85153880715, 1006353.0200863928 188653.3914438039))"
306,The Fresh Air Fund,24560,Brooklyn,DUMONT AVENUE,THOMAS S BOYLAND STREET,STRAUSS STREET,approvedFull,"mon,tue,wed,thu",08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,,2021-07-06T00:00:00,259.973114834,08/19/2021 12:00:00 AM,,"MULTILINESTRING ((1007854.4416242242 180932.61817148328, 1008109.5096836388 180982.88053815067))"
307,The Fresh Air Fund,24644,Brooklyn,DUMONT AVENUE,THOMAS S BOYLAND STREET,STRAUSS STREET,approvedFull,"mon,tue,wed,thu",08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,,2021-07-06T00:00:00,260.255583332,08/19/2021 12:00:00 AM,,"MULTILINESTRING ((1008109.5096836388 180982.88053815067, 1008364.8507083803 181033.21869206429))"
308,The Fresh Air Fund,24655,Brooklyn,DUMONT AVENUE,THOMAS S BOYLAND STREET,STRAUSS STREET,approvedFull,"mon,tue,wed,thu",08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,,2021-07-06T00:00:00,270.103989571,08/19/2021 12:00:00 AM,,"MULTILINESTRING ((1008364.8507083803 181033.21869206429, 1008629.8895483911 181085.2819081396))"
309,Bedford Stuyvesant New Beginnings Charter School,24844,Brooklyn,HART STREET,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,,,,,2021-08-30T00:00:00,819.935626409,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((1000814.2900221348 192182.082221061, 1001624.918322131 192305.27390381694))"
310,Sharon Street Block Association,25005,Brooklyn,SHARON STREET,OLIVE STREET,MORGAN AVENUE,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-03-31T00:00:00,855.752080228,03/28/2022 12:00:00 AM,,"MULTILINESTRING ((1001244.1874563098 199897.14028172195, 1002098.6079915613 199849.4205608964))"
311,Grattan Street Merchant Group,25081,Brooklyn,GRATTAN STREET,BOGART STREET,MORGAN AVENUE,approvedLimited,sun,,,,,,,,,,,,,10:00,20:00,2021-05-02T00:00:00,459.411114743,09/26/2021 12:00:00 AM,,"MULTILINESTRING ((1002737.2192471325 196280.2242872268, 1003186.3981388062 196376.6446980536))"
312,Arley Marks,25439,Brooklyn,RANDOLPH STREET,SCOTT AVENUE,GARDNER AVENUE,approvedFull,"thu,fri,sat,sun",,,,,,,16:00,23:00,16:00,23:00,16:00,23:00,16:00,23:00,2021-04-15T00:00:00,469.689712745,12/01/2021 12:00:00 AM,,"MULTILINESTRING ((1005171.0270435512 197934.6110703051, 1005615.6127685606 198086.11011114717))"
