Object ID,Organization Name,LIONS ID,Borough Name,Approved On Street,Approved From Street,Approved To Street,Review Status,apprDaysWe,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,Shape_STLe,apprEndDat,School,the Geom
1,Intermediate School 7,1367,StatenIsland,IRVINGTON STREET,EDITH AVENUE,HYLAN BOULEVARD,approvedFull,"mon,tue,wed,thu,fri",07:45,16:00,07:45,16:00,07:45,16:00,07:45,16:00,07:45,16:00,,,,,2021-07-01T00:00:00,658.299332641,08/30/2021 12:00:00 AM,,"MULTILINESTRING ((932200.5397827178 130088.98823164403, 932514.4764908105 129510.36766973138))"
2,Van Duzer St Area Civic Association Inc,8698,StatenIsland,WATER STREET,CANAL STREET,BAY STREET,approvedFull,sat,,,,,,,,,,,11:00,17:00,,,2021-09-04T00:00:00,121.898711189,10/02/2021 12:00:00 AM,no,"MULTILINESTRING ((963169.1038297266 167781.91579839587, 963047.6211330593 167771.85348255932))"
3,Dimtrios and Georgia Kaloidis School,9213,Brooklyn,RIDGE BOULEVARD,85th STREET,86th STREET,approvedFull,"mon,tue,wed,thu,fri",09:30,14:00,09:00,14:00,09:30,14:00,09:30,14:00,09:30,14:00,,,,,2021-10-04T00:00:00,330.824058696,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((974980.395823881 166973.40199548006, 974882.9045490474 166657.2690975666))"
4,Bay Ridge 5th Avenue Business Improvement District,9432,Brooklyn,5th AVENUE,81st STREET,82 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-09-24T00:00:00,278.018327813,10/29/2021 12:00:00 AM,no,"MULTILINESTRING ((977462.7688118815 167002.3310714811, 977378.9891238064 166737.23645730317))"
5,Bay Ridge 5th Avenue BID,9448,Brooklyn,5 AVENUE,BAY RIDGE PARKWAY,77 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,299.594045876,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977965.8977268934 168619.0177987218, 977876.5507927239 168333.05675648153))"
6,Van Duzer Street Civic Association,8610,StatenIsland,VAN DUZER STREET,BEACH STREET,WRIGHT STREET,approvedFull,sat,,,,,,,,,,,11:00,17:00,,,2021-06-05T00:00:00,309.879760948,08/28/2021 12:00:00 AM,,"MULTILINESTRING ((962119.8470699638 168433.14513897896, 961937.8136413842 168182.3677533865))"
7,"Public School 48, The Mapleton School",11269,Brooklyn,61 STREET,18th AVENUE,19th AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,10:00,13:00,,,,,2021-10-15T00:00:00,764.348611293,06/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((987622.2675217241 165685.15522813797, 988221.2495914698 165210.34023289382))"
8,Bay Ridge Prep School,9303,Brooklyn,RIDGE BOULEVARD,81st STREET,82nd STREET,approvedFull,"mon,tue,wed,thu,fri",08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,08:30,15:00,,,,,2021-09-06T00:00:00,278.62681703,06/30/2022 12:00:00 AM,,"MULTILINESTRING ((975295.7843007147 167983.74315063655, 975212.8681279719 167717.73974564672))"
9,Bay Ridge 5th Avenue BID,9429,Brooklyn,5 AVENUE,82 STREET,84 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.411929139,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977296.4896168858 166470.72747589648, 977213.8221313059 166204.8717083931))"
10,Bay Ridge 5th Avenue BID,9430,Brooklyn,5 AVENUE,82 STREET,84 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.986031572,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977378.9891238064 166737.23645730317, 977296.4896168858 166470.72747589648))"
11,Bay Ridge 5th Avenue BID,9435,Brooklyn,5 AVENUE,78 STREET,80 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,280.114665224,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977628.2471554726 167536.39857289195, 977544.8582146317 167268.98408147693))"
12,Bay Ridge 5th Avenue BID,9436,Brooklyn,5 AVENUE,78 STREET,80 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,277.726339036,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977710.6324893832 167801.62409231067, 977628.2471554726 167536.39857289195))"
13,Bay Ridge 5th Avenue BID,9446,Brooklyn,5 AVENUE,BAY RIDGE PARKWAY,77 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,278.526986158,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((977876.5507927239 168333.05675648153, 977793.6438063085 168067.15505731106))"
14,Bay Ridge 5th Avenue BID,9519,Brooklyn,5 AVENUE,OVINGTON AVENUE,73 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,267.105919694,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((978216.1429613084 169421.0572051406, 978136.5141835511 169166.09675705433))"
15,Bay Ridge 5th Avenue BID,9520,Brooklyn,5 AVENUE,OVINGTON AVENUE,73 STREET,approvedFull,fri,,,,,,,,,16:00,23:00,,,,,2021-06-25T00:00:00,339.755348348,10/29/2021 12:00:00 AM,,"MULTILINESTRING ((978316.8481404781 169745.54474514723, 978216.1429613084 169421.0572051406))"
16,High School of Telecommunication Arts and Technology,9680,Brooklyn,67th STREET,4th AVENUE,3rd AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:30,16:45,07:30,16:45,07:30,16:45,07:30,16:45,07:30,17:45,,,,,2021-09-13T00:00:00,774.324087952,07/01/2022 12:00:00 AM,yes,"MULTILINESTRING ((977285.9414096326 171646.13805681467, 977969.968912974 171283.25492431223))"
17,Hometown Bar B Que,9805,Brooklyn,REED STREET,VAN BRUNT STREET,CONOVER STREET,approvedFull,"tue,wed,thu,fri,sat,sun",,,12:00,22:00,12:00,22:00,12:00,22:00,12:00,23:00,12:00,23:00,12:00,22:00,2021-03-27T00:00:00,454.115102858,12/26/2021 12:00:00 AM,,"MULTILINESTRING ((979801.3464837968 185083.71518422663, 979461.1204582155 185384.49214172363))"
18,Hebrew Language Academy 2 Charter School,10298,Brooklyn,82nd STREET,24th AVENUE,STILLWELL AVENUE,approvedFull,"mon,tue,wed,thu",08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,,,,,2021-09-09T00:00:00,340.382923165,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((987852.6938981414 158434.62740638852, 988120.724858135 158224.81811472774))"
19,15K896 The School of Creativity and Innovation,11633,Brooklyn,48th STREET,7th AVENUE,8th AVENUE,approvedFull,"mon,tue,wed,thu,fri",07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,07:00,15:00,,,,,2021-09-13T00:00:00,780.080643637,06/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((982932.3809041381 173748.22112298012, 983543.3445772231 173263.19617439806))"
20,The Fresh Air Fund,11652,Brooklyn,6th AVENUE,45th STREET,44th STREET,approvedFull,"mon,tue,wed,thu",08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,,2021-07-06T00:00:00,258.269051548,08/19/2021 12:00:00 AM,,"MULTILINESTRING ((982967.0789974779 175046.69326356053, 982805.8326008022 174844.94465130568))"
21,Red Hook Initiative,12280,Brooklyn,WEST 9th STREET,HENRY STREET,HICKS STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",8:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,8:00,19:00,,,2021-05-01T00:00:00,463.967961623,11/12/2021 12:00:00 AM,,"MULTILINESTRING ((982928.1614243835 185822.99552981555, 983363.7478235513 185663.21205672622))"
22,Mary McDowell Friends School,12390,Brooklyn,SUMMIT STREET,HENRY STREET,HICKS STREET,approvedFull,"mon,tue,wed,thu,fri",12:30,14:30,12:30,14:30,12:30,14:30,12:30,14:30,12:30,14:30,,,,,2021-09-13T00:00:00,459.637057386,06/15/2022 12:00:00 AM,yes,"MULTILINESTRING ((983624.9320124686 187711.51898372173, 984057.0702558011 187554.92152789235))"
23,17 St Block Association,12699,Brooklyn,17th STREET,Calder Place,PROSPECT PARK WEST,approvedLimited,"sat,sun",,,,,,,,,,,10:00,20:00,10:00,20:00,2021-06-05T00:00:00,382.588286696,09/06/2021 12:00:00 AM,,"MULTILINESTRING ((987650.9449578077 180319.39662888646, 987944.671404466 180074.2465286404))"
24,Park Slope Fifth Avenue BID,12708,Brooklyn,5th AVENUE,15 STREET,16th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-05-01T00:00:00,260.109990451,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((987214.5055419654 181763.3442003131, 987075.2669752985 181543.64024339616))"
25,Park Slope Fifth Avenue Business Improvement District,12718,Brooklyn,5th AVENUE,10th STREET,13th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-02T00:00:00,260.412847501,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((987632.9958467185 182421.83041614294, 987493.5699444711 182201.8866303116))"
26,Boerum Hill Association,12757,Brooklyn,WYCKOFF STREET,HOYT STREET,4th AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,10:00,20:00,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,680.904506909,10/09/2021 12:00:00 AM,,"MULTILINESTRING ((987976.2855144739 188620.99583931267, 988583.4299694747 188312.76450039446))"
27,Boerum Hill Association,12767,Brooklyn,PACIFIC STREET,NEVINS STREET,SMITH STREET,approvedLimited,"sat,sun",,,,,,,,,,,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,675.925142468,10/09/2021 12:00:00 AM,,"MULTILINESTRING ((987735.9018088877 189622.82782514393, 988337.7808544636 189315.23001514375))"
28,Park Slope Fifth Avenue Business Improvement District,12815,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,259.922214655,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((988747.2423058897 184177.9729012251, 988607.9213903099 183958.5435500592))"
29,Park Slope Fifth Avenue Business Improvement District,12817,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,260.308345993,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((988887.0779842138 184397.53250147402, 988747.2423058897 184177.9729012251))"
30,Boerum Hill Association,12851,Brooklyn,STATE STREET,SMITH STREET,NEVINS STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,675.224392888,11/13/2021 12:00:00 AM,,"MULTILINESTRING ((988576.189170301 189778.07062488794, 989177.4051594734 189470.7152684778))"
31,Park Slope Fifth Avenue Business Improvement District,12899,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,259.93970906,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((989165.8011800498 184836.3377262205, 989025.9786250591 184617.20693089068))"
32,PS 321,12902,Brooklyn,2nd STREET,6th AVENUE,7th AVENUE,approvedFull,"mon,tue,wed,thu,fri",10:30,13:30,10:30,13:30,10:30,13:30,10:30,13:30,10:30,13:30,,,,,2021-09-13T00:00:00,775.622808076,06/27/2022 12:00:00 AM,yes,"MULTILINESTRING ((989681.4428652972 184201.13820922375, 990335.674168393 183784.51830756664))"
33,Park Slope Fifth Avenue Business Improvement District,12907,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,259.720732835,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((989305.0164528042 185055.59548981488, 989165.8011800498 184836.3377262205))"
34,Park Slope Fifth Avenue Business Improvement District,12909,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,233.971093956,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((989429.4325425476 185253.74469980597, 989305.0164528042 185055.59548981488))"
35,Park Slope Fifth Avenue Business Improvement District,12917,Brooklyn,5th AVENUE,STERLING PLACE,BERKELEY PLACE,approvedFull,"sat, sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,259.473507734,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((989908.5588808805 186177.17461147904, 989788.339633137 185947.2315018028))"
36,Alliance for Downtown New York,13008,Manhattan,PEARL STREET,BROAD STREET,WALL STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,2021-05-14T00:00:00,390.894841169,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((981339.3945887983 195694.68641631305, 981628.1866621375 195958.1212568879))"
37,Stone Street Community Association,13010,Manhattan,STONE STREET,HANOVER SQUARE,COENTIES SLIP,approvedFull,"mon,tue,wed,thu,fri,sat,sun",10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,2021-09-25T00:00:00,231.920470859,12/31/2022 12:00:00 AM,no,"MULTILINESTRING ((981281.1105846316 195817.11104021966, 981306.4671612233 195831.16317747533, 981331.0228863806 195846.57292355597, 981354.7042694688 195863.29401873052, 981377.4424129725 195881.2775785625, 981399.1697317213 195900.4701254815, 981419.8212652206 195920.81522914767, 981439.3369742185 195942.252850309, 981457.6587879658 195964.71901272237))"
38,Alliance for Downtown New York,13035,Manhattan,PEARL STREET,BROAD STREET,WALL STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,2021-05-14T00:00:00,328.844381274,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((981781.6771688014 196079.78768022358, 981837.5399179757 196114.10552497208, 981890.7550346404 196152.92729772627, 981940.7979135513 196195.9258993864, 981987.1852879673 196242.6945066452, 982029.5178804696 196292.75674247742))"
39,Alliance for Downtown New York,13108,Manhattan,PEARL STREET,BROAD STREET,WALL STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,2021-05-14T00:00:00,39.8066678301,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((982029.5178804696 196292.75674247742, 982045.7839240581 196329.0883627236))"
40,Alliance for Downtown New York,13174,Manhattan,ANN STREET,BROADWAY,NASSAU STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,2021-05-24T00:00:00,134.458897945,11/24/2021 12:00:00 AM,,"MULTILINESTRING ((982098.7073746324 198245.13177472353, 982204.8813748807 198162.63161164522))"
41,The Peck Slip School 02M343,13216,Manhattan,PECK SLIP,PEARL STREET,WATER STREET,approvedFull,"mon,tue,wed,thu,fri",07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,,,,,2021-09-13T00:00:00,267.377222329,06/29/2035 12:00:00 AM,yes,"MULTILINESTRING ((983555.7845129669 197531.08431831002, 983722.9738111347 197322.4259429723))"
42,Cobble Hill Association,13302,Brooklyn,CONGRESS STREET,HENRY STREET,CLINTON STREET,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",08:00,20:00,08:00,20:00,8:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,2021-05-15T00:00:00,552.209203724,11/01/2021 12:00:00 AM,,"MULTILINESTRING ((985025.5328858048 190209.4214682281, 985543.8261405528 190018.87722989917))"
43,THE PACKER COLLEGIATE INSTITUTE,13420,Brooklyn,LIVINGSTON STREET,COURT STREET,CLINTON STREET,approvedFull,"mon,tue,wed,thu,fri",07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,2021-09-08T00:00:00,587.923108417,06/10/2022 12:00:00 AM,yes,"MULTILINESTRING ((986069.4418872148 191450.04595547915, 986621.1336972266 191246.8472148925))"
44,PS 8,13444,Brooklyn,POPLAR STREET,HICKS STREET,HENRY STREET,approvedFull,"mon,tue,wed,thu,fri",08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,08:00,16:00,,,,,2021-09-13T00:00:00,472.565286303,06/28/2022 12:00:00 AM,yes,"MULTILINESTRING ((986175.6224491447 194722.44131356478, 986619.4178213924 194560.07254381478))"
45,Cervo's,13483,Manhattan,CANAL STREET,ESSEX STREET,ORCHARD STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,23:00,10:00,23:00,2021-04-01T00:00:00,225.982416635,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((986707.7572116405 199652.6949044764, 986497.8823032975 199736.48377889395))"
46,Cervo's,13485,Manhattan,CANAL STREET,ESSEX STREET,ORCHARD STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,15:00,23:00,12:00,23:00,10:00,23:00,2021-04-01T00:00:00,112.709381637,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((986812.4584458023 199610.96893805265, 986707.7572116405 199652.6949044764))"
47,Downtown Brooklyn Partnership,13500,Brooklyn,PEARL STREET,FULTON STREET,DEAD END,approvedLimited,"mon,tue,wed,thu,fri",07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,2021-09-07T00:00:00,171.35509129,06/30/2022 12:00:00 AM,no,"MULTILINESTRING ((987525.7906805575 191494.85557714105, 987519.9704822153 191323.5993579775))"
48,Decatur Howard Saratoga (DHS) Block Association,13501,Brooklyn,DECATUR STREET,HOWARD AVENUE,SARATOGA AVENUE,approvedLimited,"sat,sun",,,,,,,,,,,08:00,20:00,8:00,20:00,2021-05-14T00:00:00,246.472355447,08/28/2021 12:00:00 AM,,"MULTILINESTRING ((987525.7906805575 191494.85557714105, 987771.7682069689 191479.24537214637))"
49,Downtown Brooklyn Partnership,13502,Brooklyn,PEARL STREET,FULTON STREET,DEAD END,approvedLimited,"mon,tue,wed,thu,fri",07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,,,,,2021-09-07T00:00:00,376.866044733,06/30/2022 12:00:00 AM,no,"MULTILINESTRING ((987536.3385597169 191871.5739838034, 987525.7906805575 191494.85557714105))"
50,Dumbo Improvement District,13528,Brooklyn,WASHINGTON STREET,FRONT STREET,WATER STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,2021-04-02T00:00:00,246.748284717,12/05/2021 12:00:00 AM,,"MULTILINESTRING ((987137.8616663814 195474.3000460565, 987126.6969905496 195227.80447606742))"
51,Office Ho Jonot,13562,Manhattan,JEFFERSON STREET,EAST BROADWAY,MADISON STREET,approvedLimited,"thu,fri,sat,sun",,,,,,,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,2021-06-24T00:00:00,247.41273405,12/25/2021 12:00:00 AM,,"MULTILINESTRING ((987381.6761393845 199476.76841905713, 987410.0330380499 199230.9861022234))"
52,Atlantic Avenue District Management Association Inc.,13570,Brooklyn,HOYT STREET,SCHERMERHORN STREET,ATLANTIC AVENUE,approvedFull,"fri,sat,sun",,,,,,,,,12:00,23:00,12:00,23:00,12:00,23:00,2021-04-23T00:00:00,249.91462084,10/31/2021 12:00:00 AM,,"MULTILINESTRING ((988089.0904069692 190307.57415905595, 987974.6221319735 190085.41581073403))"
53,Downtown Brooklyn Partnership,13584,Brooklyn,LAWRENCE STREET,WILLOUGHBY STREET,FULTON STREET,approvedLimited,"fri,sat,sun",,,,,,,,,16:00,00:00,11:00,,11:00,20:00,2021-06-04T00:00:00,417.21786631,11/30/2021 12:00:00 AM,,"MULTILINESTRING ((988056.4690811336 191464.9766998887, 988040.163011387 191048.07759931684))"
54,German School of Brookly,13635,Brooklyn,HANOVER PLACE,LIVINGSTON STREET,FULTON STREET,approvedFull,"mon,tue,wed,thu,fri",10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,2021-09-13T00:00:00,179.622872468,07/04/2022 12:00:00 AM,yes,"MULTILINESTRING ((989126.0535561442 190263.42398490012, 989043.3079867214 190103.9951698929))"
55,German School of Brookly,13636,Brooklyn,HANOVER PLACE,LIVINGSTON STREET,FULTON STREET,approvedFull,"mon,tue,wed,thu,fri",10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,,2021-09-13T00:00:00,190.04514752,07/04/2022 12:00:00 AM,yes,"MULTILINESTRING ((989214.445767805 190431.661837399, 989126.0535561442 190263.42398490012))"
56,Downtown Brooklyn Partnership,13642,Brooklyn,ROCKWELL PLACE,FULTON STREET,DEKALB AVENUE,approvedFull,"thu,fri,sat",,,,,,,17:00,00:00,17:00,00:00,17:00,00:00,,,2021-06-17T00:00:00,589.495895753,11/27/2021 12:00:00 AM,,"MULTILINESTRING ((989931.8659208864 190615.80188906193, 989994.3654678017 190029.62852072716))"
57,1717 East 18th Street Owners Corporation,15274,Brooklyn,EAST 18th STREET,QUENTIN ROAD,AVENUE R,approvedLimited,"sat,sun",,,,,,,,,,,12:00,20:00,12:00,20:00,2021-05-08T00:00:00,905.289709961,09/26/2021 12:00:00 AM,,"MULTILINESTRING ((996651.5493318886 161002.15540781617, 996781.0763038099 160106.1798375547))"
58,17 St Block Association,12077,Brooklyn,17th STREET,Calder Place,PROSPECT PARK WEST,approvedLimited,"sat,sun",,,,,,,,,,,10:00,20:00,10:00,20:00,2021-06-05T00:00:00,779.965560346,09/06/2021 12:00:00 AM,,"MULTILINESTRING ((988555.5399333835 179589.23437531292, 989167.4711242169 179105.6162480563))"
59,PS 230 The Doris Cohen School,12136,Brooklyn,ALBEMARLE ROAD,MCDONALD AVENUE,DAHILL ROAD,approvedFull,"mon,tue,wed,thu,fri",08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,,2021-09-13T00:00:00,290.292203476,06/24/2022 12:00:00 AM,yes,"MULTILINESTRING ((989545.8335564733 174267.35427105427, 989832.8871162236 174310.5956543982))"
60,The Gowanus Dredgers Canoe Club,12654,Brooklyn,2nd STREET,BOND STREET,DEAD END,approvedLimited,"mon,tue,wed,thu,fri,sat,sun",10:00,16:00,10:00,16:00,10:00,16:00,10:00,16:00,10:00,21:00,10:00,21:00,10:00,21:00,2021-04-16T00:00:00,493.43098909,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((986643.3846369684 186129.1563348174, 987060.6341305524 185865.76119230688))"
61,17 St Block Association,12704,Brooklyn,17th STREET,Calder Place,PROSPECT PARK WEST,approvedLimited,"sat,sun",,,,,,,,,,,10:00,20:00,10:00,20:00,2021-06-05T00:00:00,779.998172111,09/06/2021 12:00:00 AM,,"MULTILINESTRING ((987944.671404466 180074.2465286404, 988555.5399333835 179589.23437531292))"
62,Park Slope Fifth Avenue Business Improvement District,12720,Brooklyn,5th AVENUE,10th STREET,13th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-02T00:00:00,259.908868108,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((987772.5195178092 182641.11508256197, 987632.9958467185 182421.83041614294))"
63,Park Slope Fifth Avenue Business Improvement District,12722,Brooklyn,5th AVENUE,10th STREET,13th STREET,approvedFull,"sat,sun",,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-02T00:00:00,259.955546226,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((987911.495289728 182860.80263531208, 987772.5195178092 182641.11508256197))"
64,Boerum Hill Association,12754,Brooklyn,WYCKOFF STREET,HOYT STREET,4th AVENUE,approvedLimited,"fri,sat,sun",,,,,,,,,10:00,20:00,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,669.187959884,10/09/2021 12:00:00 AM,,"MULTILINESTRING ((987380.3611813933 188925.4407684803, 987976.2855144739 188620.99583931267))"
65,Boerum Hill Association,12761,Brooklyn,PACIFIC STREET,NEVINS STREET,SMITH STREET,approvedLimited,"sat,sun",,,,,,,,,,,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,680.596375652,10/09/2021 12:00:00 AM,,"MULTILINESTRING ((987130.3944897205 189933.58868655562, 987735.9018088877 189622.82782514393))"
66,Park Slope Fifth Avenue BID,12814,Brooklyn,4th STREET,DEAD END,5th AVENUE,approvedLimited,"mon,tue,wed,thu,fri,sat",10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,,,2021-03-30T00:00:00,413.915399225,12/31/2021 12:00:00 AM,,"MULTILINESTRING ((988394.2079069763 184394.05777089298, 988747.2423058897 184177.9729012251))"
67,Boerum Hill Association,12847,Brooklyn,PACIFIC STREET,NEVINS STREET,SMITH STREET,approvedLimited,"sat,sun",,,,,,,,,,,08:00,20:00,08:00,20:00,2021-04-24T00:00:00,675.123166088,10/09/2021 12:00:00 AM,,"MULTILINESTRING ((988337.7808544636 189315.23001514375, 988939.0595075488 189008.2198023945))"
68,Park Slope Fifth Avenue Business Improvement District,12897,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,259.904295784,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((989025.9786250591 184617.20693089068, 988887.0779842138 184397.53250147402))"
69,Park Slope Fifth Avenue Business Improvement District,12911,Brooklyn,5th AVENUE,PRESIDENT STREET,5th STREET,approvedFull,sat.sun,,,,,,,,,,,11:00,22:30,11:00,22:00,2021-04-03T00:00:00,260.449861226,12/18/2021 12:00:00 AM,,"MULTILINESTRING ((989550.6330875605 185484.27573481202, 989429.4325425476 185253.74469980597))"
70,Alliance for Downtown New York,12962,Manhattan,PEARL STREET,BROAD STREET,WALL STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,2021-05-14T00:00:00,279.087935699,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((981034.2081913054 195564.28050914407, 981298.232925728 195654.72947522998))"
71,Alliance for Downtown New York,13006,Manhattan,PEARL STREET,BROAD STREET,WALL STREET,approvedFull,"mon,tue,wed,thu,fri,sat,sun",17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,23:00,12:00,23:00,12:00,23:00,2021-05-14T00:00:00,57.3658404229,11/19/2021 12:00:00 AM,,"MULTILINESTRING ((981298.232925728 195654.72947522998, 981339.3945887983 195694.68641631305))"
